condition_id,exclusion_candidate,probe_position_deg,distance_from_flanker_edge_deg,base_threshold,flanker_threshold,base_sensitivity,flanker_sensitivity,log_sensitivity_ratio,spread,base_staircases,flanker_staircases
P02_L026,no_exclusions,0.0802,0.5802,0.019624224777675607,0.02093275292117664,50.957426921525766,47.77202519733317,-0.0645502966125028,0.41249577398076365,4,4
P02_L026,no_exclusions,0.1375,0.6375,0.05160217250476007,0.036699704205031075,19.37902904975085,27.24817601834819,0.34079507918701984,0.381612446604582,4,4
P02_L026,no_exclusions,0.1948,0.6948,0.05159800548183304,0.049764838421498085,19.380594088120063,20.09450912972334,0.03617433942498919,0.1468014210949397,4,4
P02_L026,no_exclusions,0.2578,0.7578,0.030688033123243662,0.023185272059229958,32.58599193972397,43.130828805690214,0.28035552600301894,0.21136251864517944,4,4
P02_L026,no_exclusions,0.3151,0.8150999999999999,0.021968599471923145,0.02718368773496512,45.51951530993338,36.7867674816521,-0.21300294070500916,0.39770606736772984,4,4
P02_L026,no_exclusions,0.3782,0.8782,0.04976703071207565,0.03617088813160471,20.093623945246875,27.646542610775406,0.319098130861628,0.2868726254758588,4,4
P02_L026,no_exclusions,0.4354,0.9354,0.04515720058853967,0.054393984549098204,22.144862546102722,18.384385852398065,-0.18610382098518335,0.1388242995279123,4,4
P02_L026,no_exclusions,0.4985,0.9984999999999999,0.02532827456308527,0.022783339206824436,39.481568217736054,43.891722408296665,0.1058918110790696,0.4961576277120882,4,4
P02_L049,no_exclusions,-0.4011,0.09889999999999999,0.05037261410627015,0.04281694842908687,19.852056871424598,23.35523750965562,0.16251364095283383,0.25116557644643345,4,4
P02_L049,no_exclusions,-0.3552,0.14479999999999998,0.02095373391767493,0.018465460039667335,47.72419101668931,54.15516309107972,0.1264148983096051,0.25288936097242715,4,4
P02_L049,no_exclusions,-0.3037,0.19629999999999997,0.024233382766458846,0.019978224359159438,41.26539037645577,50.054498439023135,0.19308823739245365,0.13970481054026598,4,4
P02_L049,no_exclusions,-0.2578,0.24220000000000003,0.04379989033236261,0.0384706340508253,22.831107393461345,25.993852835356304,0.1297361152280612,0.3682992566063485,4,4
P02_L049,no_exclusions,-0.212,0.28800000000000003,0.042052933726476865,0.04094060968639879,23.77955380008106,24.425625501425255,0.026806679243399287,0.3108706497192181,4,4
P02_L049,no_exclusions,-0.1662,0.3338,0.027500138940230137,0.021402306502897043,36.36345264194623,46.723936032999,0.2506923603026556,0.25369473323191627,4,4
P02_L049,no_exclusions,-0.1146,0.3854,0.018817008752069885,0.022389989137988668,53.143409410913904,44.662817558196984,-0.17385276380530199,0.17496226230827916,4,4
P02_L049,no_exclusions,-0.0688,0.4312,0.03573912091727184,0.040737783262283646,27.980542731165066,24.547236494476426,-0.13091008467217186,0.3698989174250119,4,4
P02_L049,no_exclusions,-0.0229,0.4771,0.04758627706439743,0.052814384000040515,21.014461766923322,18.9342357945372,-0.10423915514928676,0.28606133443308795,4,4
P02_L049,no_exclusions,0.0229,0.5229,0.018156177549626222,0.01685899934902535,55.077672448768645,59.31550143026797,0.0741262634414134,0.31896947202973164,4,4
P02_L049,no_exclusions,0.0745,0.5745,0.022123243379036303,0.02337425438408731,45.20132888596194,42.78211332725028,-0.05500638421481286,0.2763184271842441,4,4
P02_L049,no_exclusions,0.1203,0.6203,0.04803013424470823,0.04511319871454469,20.8202624399322,22.166461889070078,0.0626537525725217,0.31803026320390404,4,4
P02_L049,no_exclusions,0.1662,0.6662,0.06443625559029288,0.0500059611205712,15.51921338133507,19.9976158360173,0.25353422897073624,0.35686989253048673,4,4
P02_L049,no_exclusions,0.212,0.712,0.051296103590279404,0.05092231414240035,19.494658073590987,19.63775639110934,0.007313576599704459,0.2876214536963201,4,4
P02_L049,no_exclusions,0.2636,0.7636000000000001,0.030192548490110355,0.03414024276413279,33.12075495473834,29.290945788194115,-0.12288167298488362,0.32314016213486857,4,4
P02_L049,no_exclusions,0.3094,0.8094,0.022823299107361136,0.0253136290476684,43.81487511056071,39.50441077084949,-0.1035610433650562,0.35916590553797434,4,4
P02_L049,no_exclusions,0.3552,0.8552,0.07110052005299432,0.0580646564437292,14.064594735096964,17.22218060429077,0.20253749524346923,0.28345765950488333,4,4
P02_L049,no_exclusions,0.4011,0.9011,0.0591140073830533,0.0484339083264439,16.916464375695128,20.64669225659043,0.19926775420243584,0.3359008958495402,4,4
P02_L049,no_exclusions,0.4526,0.9526,0.021736055182088335,0.02356509995090064,46.00650815535531,42.43563583789429,-0.08079439100224427,0.2908091081608616,4,4
P02_L049,no_exclusions,0.4985,0.9984999999999999,0.03139021919118783,0.021275319171777156,31.857056935770927,47.00282011874836,0.3889486771187953,0.1670065933122855,4,4
P02_L100,no_exclusions,-0.4011,0.09889999999999999,0.08278446326306221,0.07325469723895561,12.07956131602042,13.651001747205596,0.12229803006357064,0.33089275594743406,4,4
P02_L100,no_exclusions,-0.3552,0.14479999999999998,0.0473316149144581,0.039670529659383585,21.127527590328132,25.20762915408824,0.1765698775773079,0.24266667684085064,4,4
P02_L100,no_exclusions,-0.3037,0.19629999999999997,0.04768137772178683,0.038984939316005274,20.97254835703027,25.650931296677683,0.20136551734954508,0.2514978858133476,4,4
