condition_id,candidate_mode,selection,assumed_input_index,point_index,probe_position_deg,distance_from_flanker_edge_deg,log_sensitivity_ratio,spread_recorded,errorbar_halfwidth_source_convention
P01_L025,1,source_plotting_index_rule,9115,2,-0.4183,0.0817,0.08769261512187503,0.15230780297602514,0.07615390148801257
P01_L025,1,source_plotting_index_rule,9115,3,-0.3896,0.1104,0.10042633839719463,0.24440504360007942,0.12220252180003971
P01_L025,1,source_plotting_index_rule,9115,4,-0.3552,0.14479999999999998,0.8822894396373591,0.2763175011212049,0.13815875056060245
P01_L025,1,source_plotting_index_rule,9115,5,-0.3266,0.1734,0.14322739712024457,0.15347091301856192,0.07673545650928096
P01_L025,1,source_plotting_index_rule,9115,6,-0.2922,0.20779999999999998,-0.7919804600581909,0.2367447806056319,0.11837239030281595
P01_L025,1,source_plotting_index_rule,9115,7,-0.2292,0.27080000000000004,-0.4499195808821555,0.2577793094586982,0.1288896547293491
P01_L025,1,source_plotting_index_rule,9115,8,-0.2005,0.2995,-0.48266281680567885,0.17976704451750578,0.08988352225875289
P01_L025,1,source_plotting_index_rule,9115,9,-0.1662,0.3338,-0.07172458833314288,0.2698030591664906,0.1349015295832453
P01_L025,1,source_plotting_index_rule,9115,10,-0.1031,0.39690000000000003,-0.09239032299792625,0.3155398681270726,0.1577699340635363
P01_L025,1,source_plotting_index_rule,9115,11,-0.0401,0.4599,-0.34990091997741773,0.34179547415860567,0.17089773707930284
P01_L025,1,source_plotting_index_rule,9115,12,0.0172,0.5172,0.6198167551580162,0.3240054605597692,0.1620027302798846
P01_L025,1,source_plotting_index_rule,9115,13,0.0802,0.5802,0.061929965654432685,0.19989417779162305,0.09994708889581153
P01_L025,1,source_plotting_index_rule,9115,14,0.1432,0.6432,-0.6556098068073053,0.2968473911949371,0.14842369559746854
P01_L025,1,source_plotting_index_rule,9115,15,0.2063,0.7063,-0.18939328323756016,0.24274832190159884,0.12137416095079942
P01_L025,2,row_linked_max_fms,49628,0,-0.4813,0.018699999999999994,0.36041968201100916,0.2627024355986615,0.13135121779933076
P01_L025,2,row_linked_max_fms,49628,1,-0.4412,0.05880000000000002,-0.6624065671359095,0.27903686585418186,0.13951843292709093
P01_L025,2,row_linked_max_fms,49628,2,-0.4183,0.0817,0.12559238932759664,0.22328105113076713,0.11164052556538356
P01_L025,2,row_linked_max_fms,49628,3,-0.3896,0.1104,0.12585838610679206,0.21658134305736587,0.10829067152868294
P01_L025,2,row_linked_max_fms,49628,4,-0.3552,0.14479999999999998,0.9213154452616317,0.30903519063397067,0.15451759531698533
P01_L025,2,row_linked_max_fms,49628,5,-0.3266,0.1734,0.07885384406619271,0.16596692381688266,0.08298346190844133
P01_L025,2,row_linked_max_fms,49628,6,-0.2922,0.20779999999999998,-0.6773534502425416,0.21692065985192327,0.10846032992596163
P01_L025,2,row_linked_max_fms,49628,7,-0.2292,0.27080000000000004,-0.45141133928592586,0.2952512645315082,0.1476256322657541
P01_L025,2,row_linked_max_fms,49628,8,-0.2005,0.2995,-0.4375853376359493,0.20223019323962713,0.10111509661981356
P01_L025,2,row_linked_max_fms,49628,9,-0.1662,0.3338,-0.09385842605787238,0.38673257486165236,0.19336628743082618
P01_L025,2,row_linked_max_fms,49628,10,-0.1031,0.39690000000000003,-0.1529851376776017,0.3406174791089889,0.17030873955449444
P01_L025,2,row_linked_max_fms,49628,11,-0.0401,0.4599,-0.3708340076264709,0.2974879643940143,0.14874398219700716
P01_L025,2,row_linked_max_fms,49628,12,0.0172,0.5172,0.5920119131337589,0.2365046443373457,0.11825232216867285
P01_L025,2,row_linked_max_fms,49628,13,0.0802,0.5802,0.08779012615088987,0.273484866076567,0.1367424330382835
P01_L025,2,row_linked_max_fms,49628,14,0.1432,0.6432,-0.7464033421078409,0.3632316183390109,0.18161580916950545
P01_L025,2,row_linked_max_fms,49628,15,0.2063,0.7063,-0.16441449930513408,0.24214294330406938,0.12107147165203469
P01_L025,2,source_plotting_index_rule,2786,0,-0.4813,0.018699999999999994,0.583720621286288,0.2690299881632296,0.1345149940816148
P01_L025,2,source_plotting_index_rule,2786,1,-0.4412,0.05880000000000002,-0.6051929353626979,0.2825929188222092,0.1412964594111046
P01_L025,2,source_plotting_index_rule,2786,2,-0.4183,0.0817,0.055889427424243285,0.18385890789159265,0.09192945394579632
P01_L025,2,source_plotting_index_rule,2786,3,-0.3896,0.1104,0.029524909175817807,0.24243246958851475,0.12121623479425737
P01_L025,2,source_plotting_index_rule,2786,4,-0.3552,0.14479999999999998,0.9213154717134892,0.3090351948459989,0.15451759742299945
P01_L025,2,source_plotting_index_rule,2786,5,-0.3266,0.1734,0.1615611196113561,0.2773853471529896,0.1386926735764948
P01_L025,2,source_plotting_index_rule,2786,6,-0.2922,0.20779999999999998,-0.830366188501737,0.27343508614052714,0.13671754307026357
P01_L025,2,source_plotting_index_rule,2786,7,-0.2292,0.27080000000000004,-0.566581353174631,0.1774124426314744,0.0887062213157372
P01_L025,2,source_plotting_index_rule,2786,8,-0.2005,0.2995,-0.29487110033331027,0.25300825722632825,0.12650412861316412
P01_L025,2,source_plotting_index_rule,2786,9,-0.1662,0.3338,-0.03520844109497884,0.3156550627433851,0.15782753137169256
P01_L025,2,source_plotting_index_rule,2786,10,-0.1031,0.39690000000000003,-0.13332488058240902,0.3159664373134337,0.15798321865671686
P01_L025,2,source_plotting_index_rule,2786,11,-0.0401,0.4599,-0.3908084366619276,0.257079097941019,0.1285395489705095
P01_L025,2,source_plotting_index_rule,2786,12,0.0172,0.5172,0.5906176504580423,0.3473865811803628,0.1736932905901814
P01_L025,2,source_plotting_index_rule,2786,13,0.0802,0.5802,-0.055246885385717565,0.23720156342643328,0.11860078171321664
P01_L025,2,source_plotting_index_rule,2786,14,0.1432,0.6432,-0.6799071242777562,0.2785254566727893,0.13926272833639464
P01_L025,2,source_plotting_index_rule,2786,15,0.2063,0.7063,-0.16441449930513408,0.24214294330406938,0.12107147165203469
P01_L050,1,row_linked_max_fms,30673,0,-0.4813,0.018699999999999994,0.16133091590012225,0.2703169731822494,0.1351584865911247
P01_L050,1,row_linked_max_fms,30673,1,-0.4584,0.041600000000000026,-0.05855187745861476,0.4100325603956973,0.20501628019784865
P01_L050,1,row_linked_max_fms,30673,2,-0.4354,0.06459999999999999,-0.015301296105696466,0.2065428088509778,0.1032714044254889
P01_L050,1,row_linked_max_fms,30673,3,-0.4125,0.08750000000000002,0.09493972560659011,0.26076604240705065,0.13038302120352532
P01_L050,1,row_linked_max_fms,30673,4,-0.3896,0.1104,-0.03503383482105342,0.2275989901799434,0.1137994950899717
P01_L050,1,row_linked_max_fms,30673,5,-0.3667,0.13329999999999997,-0.16724543970637748,0.3014390464324494,0.1507195232162247
P01_L050,1,row_linked_max_fms,30673,6,-0.3438,0.1562,-0.08111063664932802,0.17085192062739585,0.08542596031369792
P01_L050,1,row_linked_max_fms,30673,7,-0.3209,0.17909999999999998,-0.061086919394230436,0.3978958372386644,0.1989479186193322
